CATEGORIA,CCAA,PROVINCIA,VALORACION_POR_CATEGORIA,TOTAL_OPINIONES_CATEGORIA,VALORACION_GENERAL,TIPO_CATEGORIA,TIPO_CCAA
Activo Naturaleza,Andalucía,Almería,"4,41",17819,"4,27",Turismo Pausado,Tradicional
Activo Naturaleza,Andalucía,Cádiz,"4,35",8671,"4,28",Turismo Pausado,Tradicional
Activo Naturaleza,Andalucía,Córdoba,"4,44",2595,"4,33",Turismo Pausado,Tradicional
Activo Naturaleza,Andalucía,Granada,"4,57",14232,"4,42",Turismo Pausado,Tradicional
Activo Naturaleza,Andalucía,Huelva,"4,25",5248,"4,13",Turismo Pausado,Tradicional
Activo Naturaleza,Andalucía,Jaén,"4,64",3046,"4,36",Turismo Pausado,Tradicional
Activo Naturaleza,Andalucía,Málaga,"4,52",68496,"4,45",Turismo Pausado,Tradicional
Activo Naturaleza,Andalucía,Sevilla,"4,39",7647,"4,37",Turismo Pausado,Tradicional
Activo Naturaleza,Aragón,Huesca,"4,56",12071,"4,26",Turismo Pausado,Emergente
Activo Naturaleza,Aragón,Teruel,"4,58",3149,"4,31",Turismo Pausado,Emergente
Activo Naturaleza,Aragón,Zaragoza,"4,51",2739,"4,22",Turismo Pausado,Emergente
Activo Naturaleza,Canarias,Las Palmas,"4,47",114883,"4,29",Turismo Pausado,Tradicional
Activo Naturaleza,Canarias,Santa Cruz de Tenerife,"4,38",108966,"4,3",Turismo Pausado,Tradicional
Activo Naturaleza,Cantabria,Cantabria,"4,47",22235,"4,3",Turismo Pausado,Emergente
Activo Naturaleza,Castilla - La Mancha,Albacete,"4,55",1832,"4,17",Turismo Pausado,Otra
Activo Naturaleza,Castilla - La Mancha,Ciudad Real,"4,46",1228,"4,32",Turismo Pausado,Otra
Activo Naturaleza,Castilla - La Mancha,Cuenca,"4,54",2563,"4,25",Turismo Pausado,Otra
Activo Naturaleza,Castilla - La Mancha,Guadalajara,"4,38",1017,"4,07",Turismo Pausado,Otra
Activo Naturaleza,Castilla - La Mancha,Toledo,"4,43",1784,"4,22",Turismo Pausado,Otra
Activo Naturaleza,Castilla y León,Burgos,"4,51",3995,"4,31",Turismo Pausado,Emergente
Activo Naturaleza,Castilla y León,León,"4,54",3027,"4,28",Turismo Pausado,Emergente
Activo Naturaleza,Castilla y León,Palencia,"4,32",324,"4,35",Turismo Pausado,Emergente
Activo Naturaleza,Castilla y León,Salamanca,"4,53",1261,"4,19",Turismo Pausado,Emergente
Activo Naturaleza,Castilla y León,Segovia,"4,27",2352,"4,08",Turismo Pausado,Emergente
Activo Naturaleza,Castilla y León,Soria,"4,14",788,"3,95",Turismo Pausado,Emergente
Activo Naturaleza,Castilla y León,Valladolid,"4,54",4655,"4,07",Turismo Pausado,Emergente
Activo Naturaleza,Castilla y León,Zamora,"4,43",300,"4,23",Turismo Pausado,Emergente
Activo Naturaleza,Castilla y León,Ávila,"4,49",1355,"4,28",Turismo Pausado,Emergente
Activo Naturaleza,Cataluña,Barcelona,"4,39",51276,"4,11",Turismo Pausado,Tradicional
Activo Naturaleza,Cataluña,Girona,"4,48",42445,"4,27",Turismo Pausado,Tradicional
Activo Naturaleza,Cataluña,Lleida,"4,55",7826,"4,29",Turismo Pausado,Tradicional
Activo Naturaleza,Cataluña,Tarragona,"4,45",19631,"4,23",Turismo Pausado,Tradicional
Activo Naturaleza,Ceuta,Ceuta,"3,5",2,"3,5",Turismo Pausado,Otra
Activo Naturaleza,Comunidad Foral de Navarra,Navarra,"4,61",4739,"4,26",Turismo Pausado,Otra
Activo Naturaleza,Comunidad de Madrid,Madrid,"4,36",15000,"4,18",Turismo Pausado,Otra
Activo Naturaleza,Comunitat Valenciana,Alicante/Alacant,"4,5",55694,"4,3",Turismo Pausado,Otra
Activo Naturaleza,Comunitat Valenciana,Castellón/Castelló,"4,47",5650,"4,26",Turismo Pausado,Otra
Activo Naturaleza,Comunitat Valenciana,Valencia/València,"4,26",53722,"4,19",Turismo Pausado,Otra
Activo Naturaleza,Extremadura,Badajoz,"4,32",1003,"4,3",Turismo Pausado,Emergente
Activo Naturaleza,Extremadura,Cáceres,"4,61",2899,"4,39",Turismo Pausado,Emergente
Activo Naturaleza,Galicia,A Coruña,"4,43",8699,"4,26",Turismo Pausado,Emergente
Activo Naturaleza,Galicia,Lugo,"4,62",7015,"4,3",Turismo Pausado,Emergente
Activo Naturaleza,Galicia,Ourense,"4,56",1472,"4,19",Turismo Pausado,Emergente
Activo Naturaleza,Galicia,Pontevedra,"4,37",11347,"4,2",Turismo Pausado,Emergente
Activo Naturaleza,Illes Balears,Illes Balears,"4,48",135967,"4,36",Turismo Pausado,Tradicional
Activo Naturaleza,La Rioja,La Rioja,"4,61",14407,"4,34",Turismo Pausado,Emergente
Activo Naturaleza,País Vasco,Araba/Álava,"4,66",8472,"4,4",Turismo Pausado,Emergente
Activo Naturaleza,País Vasco,Bizkaia,"4,4",3289,"4,35",Turismo Pausado,Emergente
Activo Naturaleza,País Vasco,Gipuzkoa,"4,71",16657,"4,4",Turismo Pausado,Emergente
Activo Naturaleza,Principado de Asturias,Asturias,"4,49",22750,"4,39",Turismo Pausado,Otra
Activo Naturaleza,Región de Murcia,Murcia,"4,49",3134,"4,28",Turismo Pausado,Otra
Activo Urbano,Andalucía,Almería,"4,36",5966,"4,27",Turismo de Fiesta,Tradicional
Activo Urbano,Andalucía,Cádiz,"4,6",2567,"4,28",Turismo de Fiesta,Tradicional
Activo Urbano,Andalucía,Córdoba,"4,46",33231,"4,33",Turismo de Fiesta,Tradicional
Activo Urbano,Andalucía,Granada,"4,41",73000,"4,42",Turismo de Fiesta,Tradicional
Activo Urbano,Andalucía,Huelva,"4,33",828,"4,13",Turismo de Fiesta,Tradicional
Activo Urbano,Andalucía,Jaén,"4,52",2541,"4,36",Turismo de Fiesta,Tradicional
Activo Urbano,Andalucía,Málaga,"4,55",68406,"4,45",Turismo de Fiesta,Tradicional
Activo Urbano,Andalucía,Sevilla,"4,38",108449,"4,37",Turismo de Fiesta,Tradicional
Activo Urbano,Aragón,Huesca,"4,22",1691,"4,26",Turismo de Fiesta,Emergente
Activo Urbano,Aragón,Teruel,"4,36",2724,"4,31",Turismo de Fiesta,Emergente
Activo Urbano,Aragón,Zaragoza,"4,41",9109,"4,22",Turismo de Fiesta,Emergente
Activo Urbano,Canarias,Las Palmas,"4,5",39902,"4,29",Turismo de Fiesta,Tradicional
Activo Urbano,Canarias,Santa Cruz de Tenerife,"4,56",59430,"4,3",Turismo de Fiesta,Tradicional
Activo Urbano,Cantabria,Cantabria,"4,32",7367,"4,3",Turismo de Fiesta,Emergente
Activo Urbano,Castilla - La Mancha,Albacete,"4,12",569,"4,17",Turismo de Fiesta,Otra
Activo Urbano,Castilla - La Mancha,Ciudad Real,"4,66",1663,"4,32",Turismo de Fiesta,Otra
Activo Urbano,Castilla - La Mancha,Cuenca,"4,52",5182,"4,25",Turismo de Fiesta,Otra
Activo Urbano,Castilla - La Mancha,Guadalajara,"4,34",1009,"4,07",Turismo de Fiesta,Otra
Activo Urbano,Castilla - La Mancha,Toledo,"4,44",17454,"4,22",Turismo de Fiesta,Otra
Activo Urbano,Castilla y León,Burgos,"4,61",2674,"4,31",Turismo de Fiesta,Emergente
Activo Urbano,Castilla y León,León,"4,41",1964,"4,28",Turismo de Fiesta,Emergente
Activo Urbano,Castilla y León,Palencia,"4,56",666,"4,35",Turismo de Fiesta,Emergente
Activo Urbano,Castilla y León,Salamanca,"4,35",2015,"4,19",Turismo de Fiesta,Emergente
Activo Urbano,Castilla y León,Segovia,"4,09",794,"4,08",Turismo de Fiesta,Emergente
Activo Urbano,Castilla y León,Soria,"4,37",320,"3,95",Turismo de Fiesta,Emergente
