AÑO,CCAA_DESTINO,TIPO_VISITANTE_GROUP,TOTAL,TIPO_CCAA
2018,Andalucía,Excursionista,149,Tradicional
2018,Andalucía,Turista,314,Tradicional
2018,Aragón,Excursionista,24,Emergente
2018,Aragón,Turista,175,Emergente
2018,Canarias,Excursionista,76,Tradicional
2018,Canarias,Turista,215,Tradicional
2018,Cantabria,Excursionista,4,Emergente
2018,Cantabria,Turista,138,Emergente
2018,Castilla y León,Excursionista,25,Emergente
2018,Castilla y León,Turista,269,Emergente
2018,Castilla-La Mancha,Excursionista,2,Otra
2018,Castilla-La Mancha,Turista,154,Otra
2018,Cataluña,Excursionista,164,Tradicional
2018,Cataluña,Turista,325,Tradicional
2018,Ceuta,Turista,4,Otra
2018,Comunidad Foral de Navarra,Excursionista,26,Otra
2018,Comunidad Foral de Navarra,Turista,131,Otra
2018,Comunidad de Madrid,Excursionista,64,Otra
2018,Comunidad de Madrid,Turista,315,Otra
2018,Comunitat Valenciana,Excursionista,67,Otra
2018,Comunitat Valenciana,Turista,309,Otra
2018,Extremadura,Excursionista,21,Emergente
2018,Extremadura,Turista,135,Emergente
2018,Galicia,Excursionista,71,Emergente
2018,Galicia,Turista,198,Emergente
2018,Illes Balears,Excursionista,109,Tradicional
2018,Illes Balears,Turista,216,Tradicional
2018,La Rioja,Excursionista,1,Emergente
2018,La Rioja,Turista,80,Emergente
2018,Melilla,Excursionista,1,Otra
2018,Melilla,Turista,5,Otra
2018,País Vasco,Excursionista,84,Emergente
2018,País Vasco,Turista,280,Emergente
2018,Principado de Asturias,Excursionista,2,Otra
2018,Principado de Asturias,Turista,151,Otra
2018,Región de Murcia,Excursionista,7,Otra
2018,Región de Murcia,Turista,199,Otra
2018,Transito,Excursionista,180,Otra
2019,Andalucía,Excursionista,141,Tradicional
2019,Andalucía,Turista,318,Tradicional
2019,Aragón,Excursionista,37,Emergente
2019,Aragón,Turista,189,Emergente
2019,Canarias,Excursionista,92,Tradicional
2019,Canarias,Turista,201,Tradicional
2019,Cantabria,Excursionista,9,Emergente
2019,Cantabria,Turista,161,Emergente
2019,Castilla y León,Excursionista,33,Emergente
2019,Castilla y León,Turista,266,Emergente
2019,Castilla-La Mancha,Excursionista,1,Otra
2019,Castilla-La Mancha,Turista,142,Otra
2019,Cataluña,Excursionista,165,Tradicional
2019,Cataluña,Turista,324,Tradicional
2019,Ceuta,Turista,2,Otra
2019,Comunidad Foral de Navarra,Excursionista,17,Otra
2019,Comunidad Foral de Navarra,Turista,136,Otra
2019,Comunidad de Madrid,Excursionista,72,Otra
2019,Comunidad de Madrid,Turista,302,Otra
2019,Comunitat Valenciana,Excursionista,78,Otra
2019,Comunitat Valenciana,Turista,301,Otra
2019,Extremadura,Excursionista,18,Emergente
2019,Extremadura,Turista,116,Emergente
2019,Galicia,Excursionista,89,Emergente
2019,Galicia,Turista,208,Emergente
2019,Illes Balears,Excursionista,121,Tradicional
2019,Illes Balears,Turista,208,Tradicional
2019,La Rioja,Turista,91,Emergente
2019,Melilla,Turista,8,Otra
2019,País Vasco,Excursionista,82,Emergente
2019,País Vasco,Turista,286,Emergente
2019,Principado de Asturias,Excursionista,5,Otra
2019,Principado de Asturias,Turista,157,Otra
2019,Región de Murcia,Turista,196,Otra
2019,Transito,Excursionista,180,Otra
2020,Andalucía,Excursionista,72,Tradicional
2020,Andalucía,Turista,219,Tradicional
2020,Aragón,Excursionista,22,Emergente
2020,Aragón,Turista,121,Emergente
2020,Canarias,Excursionista,16,Tradicional
2020,Canarias,Turista,144,Tradicional
2020,Cantabria,Turista,95,Emergente
2020,Castilla y León,Excursionista,27,Emergente
2020,Castilla y León,Turista,182,Emergente
2020,Castilla-La Mancha,Excursionista,4,Otra
2020,Castilla-La Mancha,Turista,100,Otra
2020,Cataluña,Excursionista,92,Tradicional
2020,Cataluña,Turista,242,Tradicional
2020,Ceuta,Turista,1,Otra
2020,Comunidad Foral de Navarra,Excursionista,11,Otra
2020,Comunidad Foral de Navarra,Turista,84,Otra
2020,Comunidad de Madrid,Excursionista,34,Otra
2020,Comunidad de Madrid,Turista,225,Otra
2020,Comunitat Valenciana,Excursionista,24,Otra
2020,Comunitat Valenciana,Turista,211,Otra
2020,Extremadura,Excursionista,17,Emergente
2020,Extremadura,Turista,89,Emergente
2020,Galicia,Excursionista,50,Emergente
2020,Galicia,Turista,139,Emergente
2020,Illes Balears,Excursionista,34,Tradicional
2020,Illes Balears,Turista,148,Tradicional
2020,La Rioja,Excursionista,2,Emergente
2020,La Rioja,Turista,56,Emergente
2020,Melilla,Turista,7,Otra
2020,País Vasco,Excursionista,39,Emergente
2020,País Vasco,Turista,193,Emergente
2020,Principado de Asturias,Excursionista,2,Otra
2020,Principado de Asturias,Turista,91,Otra
2020,Región de Murcia,Excursionista,3,Otra
2020,Región de Murcia,Turista,127,Otra
2020,Transito,Excursionista,148,Otra
2021,Andalucía,Excursionista,78,Tradicional
2021,Andalucía,Turista,261,Tradicional
2021,Aragón,Excursionista,26,Emergente
2021,Aragón,Turista,162,Emergente
2021,Canarias,Excursionista,36,Tradicional
2021,Canarias,Turista,193,Tradicional
2021,Cantabria,Excursionista,5,Emergente
2021,Cantabria,Turista,157,Emergente
2021,Castilla y León,Excursionista,25,Emergente
2021,Castilla y León,Turista,238,Emergente
2021,Castilla-La Mancha,Excursionista,1,Otra
2021,Castilla-La Mancha,Turista,140,Otra
2021,Cataluña,Excursionista,116,Tradicional
2021,Cataluña,Turista,298,Tradicional
2021,Ceuta,Turista,9,Otra
